item_code,target_month,forecast_created_month,demand_forecast_quantity
SYN-BRIDGE,2025-02,2025-01,10
SYN-BRIDGE,2025-03,2025-01,10
SYN-BRIDGE,2025-04,2025-01,10
SYN-BRIDGE,2025-05,2025-01,10
SYN-BRIDGE,2025-04,2025-03,8
SYN-BRIDGE,2025-05,2025-03,8
SYN-HIGH-VALUE,2025-02,2025-01,10
SYN-HIGH-VALUE,2025-03,2025-01,10
SYN-HIGH-VALUE,2025-04,2025-01,10
SYN-HIGH-VALUE,2025-05,2025-01,10
SYN-HIGH-VALUE,2025-04,2025-03,10
SYN-HIGH-VALUE,2025-05,2025-03,10
SYN-QTY-LARGE,2025-02,2025-01,10
SYN-QTY-LARGE,2025-03,2025-01,10
SYN-QTY-LARGE,2025-04,2025-01,10
SYN-QTY-LARGE,2025-05,2025-01,10
SYN-QTY-LARGE,2025-04,2025-03,10
SYN-QTY-LARGE,2025-05,2025-03,10
SYN-TIE-A,2025-02,2025-01,10
SYN-TIE-A,2025-03,2025-01,10
SYN-TIE-A,2025-04,2025-01,10
SYN-TIE-A,2025-05,2025-01,10
SYN-TIE-A,2025-04,2025-03,10
SYN-TIE-A,2025-05,2025-03,10
SYN-TIE-B,2025-02,2025-01,10
SYN-TIE-B,2025-03,2025-01,10
SYN-TIE-B,2025-04,2025-01,10
SYN-TIE-B,2025-05,2025-01,10
SYN-TIE-B,2025-04,2025-03,10
SYN-TIE-B,2025-05,2025-03,10
SYN-DEC-HIGH,2025-02,2025-01,10
SYN-DEC-HIGH,2025-03,2025-01,10
SYN-DEC-HIGH,2025-04,2025-01,10
SYN-DEC-HIGH,2025-05,2025-01,10
SYN-DEC-HIGH,2025-04,2025-03,10
SYN-DEC-HIGH,2025-05,2025-03,10
SYN-DEC-LARGE,2025-02,2025-01,10
SYN-DEC-LARGE,2025-03,2025-01,10
SYN-DEC-LARGE,2025-04,2025-01,10
SYN-DEC-LARGE,2025-05,2025-01,10
SYN-DEC-LARGE,2025-04,2025-03,10
SYN-DEC-LARGE,2025-05,2025-03,10
SYN-MISS-BASIS,2025-02,2025-01,10
SYN-MISS-BASIS,2025-03,2025-01,10
SYN-MISS-BASIS,2025-04,2025-01,10
SYN-MISS-BASIS,2025-05,2025-01,10
SYN-MISS-BASIS,2025-04,2025-03,10
SYN-MISS-BASIS,2025-05,2025-03,10
SYN-MISS-PREV-FORECAST,2025-02,2025-01,10
SYN-MISS-PREV-FORECAST,2025-03,2025-01,10
SYN-MISS-PREV-FORECAST,2025-05,2025-01,10
SYN-MISS-PREV-FORECAST,2025-04,2025-03,10
SYN-MISS-PREV-FORECAST,2025-05,2025-03,10
SYN-MISS-CURR-FORECAST,2025-02,2025-01,10
SYN-MISS-CURR-FORECAST,2025-03,2025-01,10
SYN-MISS-CURR-FORECAST,2025-04,2025-01,10
SYN-MISS-CURR-FORECAST,2025-05,2025-01,10
SYN-MISS-CURR-FORECAST,2025-04,2025-03,10
SYN-MISS-PREV-SUPPLY,2025-02,2025-01,10
SYN-MISS-PREV-SUPPLY,2025-03,2025-01,10
SYN-MISS-PREV-SUPPLY,2025-04,2025-01,10
SYN-MISS-PREV-SUPPLY,2025-05,2025-01,10
SYN-MISS-PREV-SUPPLY,2025-04,2025-03,10
SYN-MISS-PREV-SUPPLY,2025-05,2025-03,10
SYN-MISS-CURR-SUPPLY,2025-02,2025-01,10
SYN-MISS-CURR-SUPPLY,2025-03,2025-01,10
SYN-MISS-CURR-SUPPLY,2025-04,2025-01,10
SYN-MISS-CURR-SUPPLY,2025-05,2025-01,10
SYN-MISS-CURR-SUPPLY,2025-04,2025-03,10
SYN-MISS-CURR-SUPPLY,2025-05,2025-03,10
SYN-B12-ACT,2025-03,2025-02,55
