item_code,period,inventory_quantity,valuation_unit_cost,inventory_value,valuation_basis
SYN-BRIDGE,2025-01,100,1,100,CALCULATED
SYN-BRIDGE,2025-03,115,1,115,CALCULATED
SYN-HIGH-VALUE,2025-01,100,1,100,CALCULATED
SYN-HIGH-VALUE,2025-03,105,1,105,CALCULATED
SYN-QTY-LARGE,2025-01,100,1,100,CALCULATED
SYN-QTY-LARGE,2025-03,120,1,120,CALCULATED
SYN-TIE-A,2025-01,100,1,100,CALCULATED
SYN-TIE-A,2025-03,105,1,105,CALCULATED
SYN-TIE-B,2025-01,100,1,100,CALCULATED
SYN-TIE-B,2025-03,105,1,105,CALCULATED
SYN-DEC-HIGH,2025-01,100,1,100,CALCULATED
SYN-DEC-HIGH,2025-03,95,1,95,CALCULATED
SYN-DEC-LARGE,2025-01,100,1,100,CALCULATED
SYN-DEC-LARGE,2025-03,80,1,80,CALCULATED
SYN-MISS-BASIS,2025-01,100,1,100,CALCULATED
SYN-MISS-BASIS,2025-03,110,1,110,CALCULATED
SYN-MISS-PREV-FORECAST,2025-01,100,1,100,CALCULATED
SYN-MISS-PREV-FORECAST,2025-03,110,1,110,CALCULATED
SYN-MISS-CURR-FORECAST,2025-01,100,1,100,CALCULATED
SYN-MISS-CURR-FORECAST,2025-03,110,1,110,CALCULATED
SYN-MISS-PREV-SUPPLY,2025-01,100,1,100,CALCULATED
SYN-MISS-PREV-SUPPLY,2025-03,110,1,110,CALCULATED
SYN-MISS-CURR-SUPPLY,2025-01,100,1,100,CALCULATED
SYN-MISS-CURR-SUPPLY,2025-03,110,1,110,CALCULATED
SYN-B12-ACT,2025-02,100,10,1000,CALCULATED
SYN-B12-ACT,2025-03,120,10,1200,CALCULATED
