item_code,comparison_status,projected_endpoint,previous_planning_as_of_month,current_planning_as_of_month,valuation_basis_id,fixed_valuation_unit_cost,previous_projected_ending_inventory_quantity,current_projected_ending_inventory_quantity,projected_quantity_revision,previous_projected_inventory_value,current_projected_inventory_value,projected_inventory_value_revision,actualization_effect_quantity,actualization_effect_value,supply_revision_effect_quantity,supply_revision_effect_value,demand_revision_effect_quantity,demand_revision_effect_value,represented_revision_quantity,represented_revision_value,quantity_residual,value_residual,portfolio_direction,rank_within_direction,included_in_top_n
SYN-B12-ACT,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,,,,,,,,,,,,,,,,,,,,NO
SYN-BRIDGE,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,100.0,100.0,129.0,29.0,10000.0,12900.0,2900.0,15.0,1500.0,10.0,1000.0,4.0,400.0,29.0,2900.0,0.0,0.0,INCREASE,1,YES
SYN-DEC-HIGH,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,100.0,100.0,95.0,-5.0,10000.0,9500.0,-500.0,-5.0,-500.0,0.0,0.0,0.0,0.0,-5.0,-500.0,0.0,0.0,DECREASE,1,YES
SYN-DEC-LARGE,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,10.0,100.0,80.0,-20.0,1000.0,800.0,-200.0,-20.0,-200.0,0.0,0.0,0.0,0.0,-20.0,-200.0,0.0,0.0,DECREASE,2,YES
SYN-HIGH-VALUE,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,100.0,100.0,105.0,5.0,10000.0,10500.0,500.0,5.0,500.0,0.0,0.0,0.0,0.0,5.0,500.0,0.0,0.0,INCREASE,2,YES
SYN-MISS-BASIS,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,,,,,,,,,,,,,,,,,,,,NO
SYN-MISS-CURR-FORECAST,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,10.0,,,,,,,,,,,,,,,,,,,NO
SYN-MISS-CURR-SUPPLY,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,10.0,,,,,,,,,,,,,,,,,,,NO
SYN-MISS-PREV-FORECAST,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,10.0,,,,,,,,,,,,,,,,,,,NO
SYN-MISS-PREV-SUPPLY,NO_COMPARISON_BASIS,2025-05,2025-01,2025-03,STANDARD-2025,10.0,,,,,,,,,,,,,,,,,,,NO
SYN-QTY-LARGE,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,10.0,100.0,120.0,20.0,1000.0,1200.0,200.0,20.0,200.0,0.0,0.0,0.0,0.0,20.0,200.0,0.0,0.0,INCREASE,3,YES
SYN-TIE-A,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,40.0,100.0,105.0,5.0,4000.0,4200.0,200.0,5.0,200.0,0.0,0.0,0.0,0.0,5.0,200.0,0.0,0.0,INCREASE,4,YES
SYN-TIE-B,COMPLETE_REQUIRED_COVERAGE,2025-05,2025-01,2025-03,STANDARD-2025,40.0,100.0,105.0,5.0,4000.0,4200.0,200.0,5.0,200.0,0.0,0.0,0.0,0.0,5.0,200.0,0.0,0.0,INCREASE,5,YES
